variable,WebVariableSortOrder,category,title,titleLower,low,high,unit,shortlist,decimals,rounding,factor,Ranking statement (same for all),definition,tags,condition,conditionDefinition,positive,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
HB41_CurrentSmoker,04_01,Health behaviors,Smoking,smoking,Fewer smokers,More smokers,#;%,FALSE,0,1,1,,Smoking represents the percentage of adults who are a current smokers. States with the best statistics (fewer smokers) rank first.,cigarettes;lung;tobacco;respiratory;smoking;tobacco use;smoke;addiction;vape;vapers;vaping;nicotine;dependence;tobacco;dependency;habit;habitual;fixation;dependent;adulthood;rate;population,,,FALSE,21.5381544,19.0354082,14.71475109,23.58488517,10.97292811,15.59333176,13.34553388,17.65767891,14.68605392,15.47759345,17.88638205,13.05144165,14.48019336,15.80194909,21.14018267,16.74289571,17.22376508,24.47088085,22.77381619,19.76057535,13.68628614,13.61805295,20.42855668,15.2037811,22.74065128,22.13770891,18.52979131,16.99046395,16.4775461,18.00979493,13.97079235,16.6211912,14.1755717,17.87985476,19.77365304,22.5063684,19.59327492,16.21088514,17.95561317,14.4304,20.0130001,18.10811899,22.08780772,14.26313588,8.78225641,17.01971824,15.29677425,13.94537086,24.80541137,17.05671784,18.94626493
HB50_Fruit,04_02,Health behaviors,Fruit Intake,fruit intake,Lower fruit intake,Higher fruit intake,#;%,FALSE,0,1,1,,Fruit intake represents the percentage of the population that consumes fruit one or more times per day. States with the best statistics (higher fruit intake) rank first.,diet;food;nutrition;servings;meals;vegetables;produce;healthy;health;green; nutritious;nourishing;sustaining;nutrient;deit;eating;eat;diets;balanced;wholesome;proper;meal;eating right;well-balanced;lifestyle;organic;vegetarian;rate;nation;population;,,,TRUE,51.69430812,58.98824426,60.34271453,50.39034278,64.18327118,64.23236518,64.46928953,61.77950854,63.02315612,60.99228786,55.22324642,58.74164368,60.58426975,61.50320626,57.15295716,58.25745782,56.25705097,53.1483046,49.73247967,64.83666543,64.04442367,66.03447972,60.27223396,62.91838354,48.81188102,55.64716055,60.67961109,58.8582949,63.05780705,66.68585386,64.13451424,56.86883719,62.64120925,56.72653178,59.55880456,57.09476922,48.90491212,63.5460524,60.71183056,62.44731087,52.86984127,57.52271804,54.88646552,57.46909571,62.43470567,66.15034441,59.91335445,63.48549475,50.07929074,62.11408236,58.22848092
HB38_Inactivity,04_03,Health behaviors,Physical Inactivity,physical inactivity,Less inactivity,More inactivity,#;%,FALSE,0,1,1,,Physical inactivity represents the percentage of adults reporting no physical activity in last 30 days outside of their regular job. States with the best statistics (less inactivity) rank first.,exercise;play;indoors;crime;safety;disability;immobility;greenspace;sedentary;physical;inactivity;aerobic;exercises;exercising;fitness;workout;work-out;adulthood;rate;activities;fit;movement;sports;nonphysical;non-psychical;lack;absence;absense;insufficient;inadequate;,,,FALSE,29.44426983,19.07362829,23.08137905,32.50843678,20.46022262,15.82863903,21.27279553,26.63711441,16.16398392,29.79725063,29.42383335,20.79018934,20.21942579,23.90893362,26.79860091,22.65559956,23.50231381,29.78748479,29.11981993,20.60746003,23.14641076,19.99201962,23.88329072,17.98415714,30.31567987,24.92991074,19.9046672,22.44780035,24.67564542,19.33277931,29.75100036,20.26109269,26.3411969,23.26634779,22.1869218,25.90162245,28.4636392,17.23591311,22.88164273,24.35405388,26.87287559,18.92989703,28.42625077,25.18982499,15.68181606,19.51082797,23.32976632,17.63725045,28.52084438,19.9630662,23.14194095
HB03_Binge,04_04,Health behaviors,Child Exposure to Substance Abuse,child exposure to substance abuse,Less exposure,More exposure,#;%,FALSE,0,1,1,,Child exposure to substance abuse represents the percentage of children (age 12-17 years) living with someone who has a problem with alcohol or drugs. States with the best statistics (less exposure) rank first.,family;addiction;behavioral health;alcoholism;substance use;substance use disorder;problem drinking;alcohol dependence;alcohol poisoning;alcohol abuse;alcholic;dependence;dependency;fixation;addict;abuser;abusers;drug-addicted;user;substance;substance-abuse;drug-dependent;drinking;drunk;intoxication;intoxicating;heavy-drinker;rate;nation;population;mother;father;mom;dad;parents;parental;at-home;home;house;household;relatives;domestic;,,,FALSE,10.13390208,13.38585305,15.91510607,11.61591786,7.276330415,12.17264142,7.945904292,7.908792251,6.913170547,7.895805143,8.477897186,10.03155514,11.20872678,7.726429386,9.558671565,9.388466239,10.86564983,12.01593133,10.4333324,11.00257738,6.258511122,6.226942489,7.448649841,8.750228904,11.65334378,10.33920381,13.4654115,9.451484125,9.965559891,8.95808844,6.969907737,12.57537973,5.216867401,9.766965985,7.166742417,10.73237675,9.860343055,10.7934661,8.549173483,8.184708234,9.053998886,12.14742377,11.19047959,10.97376274,9.082677185,12.19044637,7.840910165,10.16143155,11.3284464,8.45091638,11.5622671
HB10_RxAbuse,04_05,Health behaviors,Prescription Drug Abuse,prescription drug abuse,Less drug abuse,More drug abuse,#;%,FALSE,0,1,1,,Prescription drug abuse represents the percentage of people (age 12+ years) who have abused prescription drugs. States with the best statistics (less drug abuse) rank first.,substance;opioid;addiction;substance use;substance use disorder;behavioral health;drugs;anxiety;antianxiety;anxiolytics;stimulants;cocaine;narcotic;painkiller;sedatives;adult;teen;teenager;adulthood;rate;population;older;perscription;medication;drug-addicted;substance-abuse;abuse;dependence;dependency;fixation;addict;drug-dependent;,,,FALSE,4.4,8.5,6.6,7.8,6.1,6.3,4.8,5.1,5.9,5.3,5.1,4.8,8.3,5.2,7.8,4.6,5.6,6.6,5.6,5.8,6.4,7,6.3,5.5,4.5,4.6,7.4,5.3,6.8,7.1,4.2,7.4,5.1,5.3,4.5,6.4,6.3,9.4,5.7,6.5,4.2,4.7,5.8,4.7,7,8.1,5.8,8,6.9,5.2,5
HB09_IllicitDrug,04_06,Health behaviors,Illicit Drug Use,illicit drug use,Less drug use,More drug use,#;%,FALSE,0,1,1,,Illicit drug use represents the percentage of people (age 12+ years) who have used illicit drugs. States with the best statistics (less drug use) rank first.,substance;heroin;opioids;pot;marijuana;cocaine;addiction;substance use disorder;behavioral health;fentanyl;weed;stimulants;meth;methamphetamine;narcotics;illegal;street drugs;adult;teen;teenager;adulthood;rate;population;older;perscription;medication;drug-addicted;substance-abuse;abuse;dependence;dependency;fixation;addict;drug-dependent;illegal;,,,FALSE,3.4,3.8,4.5,3.7,4.1,4.1,3.8,2.9,5.3,3.6,3.5,3.8,3.6,2.9,3.2,2.1,2.5,3.5,3.6,2.3,3.1,3.7,3.5,3,3.3,3.2,3,3.2,3.9,4.2,2.4,3.8,3.3,3.7,2.1,2.9,3.2,4.3,3.7,4.6,3.9,3.2,3,2.8,3.2,5.5,2.9,4,2.4,2.5,3.1
HB06_AnyBreastfeed,04_07,Health behaviors,Breastfeeding,breastfeeding,Less breastfeeding,More breastfeeding,#;%,FALSE,0,1,1,,Breastfeeding represents the percentage of mothers who have ever breastfed. States with the best statistics (more breastfeeding) rank first.,nurse;nursing;baby;babies;infant;toddler;breast feeding;breastfeed;wet-nurse;mom;breast-feeding;breastfeeder;breastmilk;lactation;parents;milk;women;woman;breast-fed;breast;suckling;maternal;rate;population;,,,TRUE,67.3,87.3,81.6,67.1,92.8,81,83.3,65.7,77.6,77,70.3,89.5,84.4,77.4,74.1,82.1,77.4,61.3,56.9,81.7,79.8,81.4,75.3,89.2,61.5,67.9,91.2,82.4,80.9,86.4,81.6,76.9,80.5,77.2,82.4,70.1,71.2,91.9,72.9,79.7,73.4,77.7,74.9,78.4,89.6,90,80.5,91.8,59.3,83.5,87.6
HO28a_TeenBirth15to19,04_08,Health behaviors,Teen Births,teen births,Fewer teen births,More teen births,#,FALSE,0,1,1,,"The teen birth rate represents the number of births per 1,000 teens (age 15-19 years). States with the best statistics (fewer teen births) rank first.",pregnancy;youth;unplanned pregnancy;teenagers;birth control;sex education;unwanted pregnancy;abortion;adolescents;youth;minor;girl;child;pregnancies;childbearing;early;rate;population;high school;high-school;teen-agers;,,,FALSE,30,29,26,38,19,19,10,18,26,21,26,21,23,21,26,19,25,32,34,15,17,9,19,14,35,25,25,22,28,11,12,35,15,24,22,23,35,19,18,14,26,26,31,35,18,12,17,18,32,16,29
SEF07_ECEnoHS,05_01,Education,Early Childhood Education,early childhood education,Lower enrollment,Higher enrollment,#;%,FALSE,0,1,1,,Early childhood education represents the percentage of children (age 3–4 years) enrolled in preschool or Head Start. States with the best statistics (higher enrollment) rank first.,child;toddler;pre-school;day care;pre-k;pre-kindergarten;readiness;preschoolers;kids;toddlers;daycare;nursery;day-care;education;pre-education;infant;school;rate;population;,,,TRUE,54,51,51,60,61,64,73,57,85,63,63,60,44,64,52,62,58,54,63,55,62,68,60,58,61,57,52,56,48,63,73,54,68,56,49,57,59,54,57,57,58,55,53,56,56,65,60,53,51,61,53
SEF14b_CollageBAPlus,05_02,Education,College Degree,college degree,Fewer adults with degrees,More adults with degrees,#;%,TRUE,0,1,1,,College degree represents the percentage of adults with a bachelor's degree or higher. States with the best statistics (more adults with degrees) rank first.,higher education;post-secondary;graduation; graduates;graduate;university;degree;diplomas;socio-economic;socioeconomic;ses;attainment;education;4-year;graduate school;graduate education;educational attainment;college;academy;universitites;rate;population;libreral arts;science;BS;BA;Masters;PHD;BSN;MA;academia;academics;higher-education;institution;,Education,Percentage of adults with a Bachelor's degree or higher,TRUE,24,28.8,28,21.5,32,38.7,38,30.5,55.4,27.9,29.4,31.4,26.2,32.9,24.6,27.2,31.6,22.7,23,29.3,38.4,41.2,27.4,34.2,21,27.6,29.9,30,23.2,35.5,37.5,26.7,34.7,29,28.2,26.7,24.5,31.4,29.3,32.5,26.5,27.5,25.4,28.1,31.7,36.2,36.9,33.6,19.6,28.4,26
SEF12_ReadProf8,05_03,Education,Reading Proficiency,reading proficiency,Fewer readers,More readers,#;%,FALSE,0,1,1,,Reading proficiency represents the percentage of 8th grade students proficient in reading. States with the best statistics (more readers) rank first.,school;middle;youth;children;achievement;education;literacy;learning;high-school;young;child;literate;illteracy;illiterate;books;ability;educated;learned;knowledge;knowledgeable;well-read;alphabet;literary;well-educated;schooled;able to read;intellect;able to write;intelligent;intelligence;,,,TRUE,26,31,31,27,28,38,43,31,19,30,30,26,37,35,37,36,35,36,23,36,37,46,32,40,20,36,37,38,27,45,41,20,33,30,34,36,29,36,39,35,28,34,33,28,38,44,36,37,27,39,36
SEF38_Poverty,06_01,"Income, employment, and economic security",Poverty,poverty,Less poverty,More poverty,#;%,FALSE,0,1,1,,Poverty represents the percentage of adults (age 18-64 years) with household incomes below the Federal poverty level. States with the best statistics (less poverty) rank first.,poverty line;poor;socioeconomic;socio-economic; economic; low income;theshold;FPL;federal poverty level;income;impoverished;penniless;bankrupt;needy;poverty-stricken;unfortunate;deficient;rate;adulthood;family;families;population;broke;homes;domestic;,,,FALSE,18.4,10.1,17.7,18.8,15.8,12.2,10.4,12,17.9,16.1,17.8,10.8,15.2,14,15,12.3,13.3,18.8,19.7,13.5,9.9,11.4,16.3,10.8,22.3,15.3,14.9,12.4,14.9,8.5,10.9,20.9,15.5,16.8,11.2,15.4,16.5,15.7,13.3,13.8,17.2,14,17.2,16.7,11.7,11.6,11.4,12.7,17.7,12.7,11.6
SEF36_ChildPoverty,06_02,"Income, employment, and economic security",Child Poverty,child poverty,Less child poverty,More child poverty,#;%,FALSE,0,1,1,,Child poverty represents the percentage of children (age 0-17 years) living below the Federal poverty level. States with the best statistics (less child poverty) rank first.,youth;poor;socioeconomic;socio-economic; income; economic; low income;poverty line;theshold;FPL;federal poverty level;income;impoverished;penniless;bankrupt;needy;poverty-stricken;unfortunate;deficient;rate;population;kids;childhood;teenager;teenage;,,,FALSE,26.5,14.4,25.3,26.8,21.9,15.7,14.1,17.6,25.8,23.3,25.4,14.1,19,19.5,21.2,15.3,17.2,25.7,27.8,17.9,13.3,14.9,22.8,13.9,31.5,21.1,18.6,16.4,21.3,11,15.6,29.8,21.9,23.9,13,22.1,23.1,20.4,19.1,19.4,25.3,18.4,25.1,23.9,13.4,15.1,15.1,16.5,24.7,17.5,13.9
SEF28_MedHHInc,06_03,"Income, employment, and economic security",Median Household Income,median household income,Lower incomes,Higher incomes,$;#;K,TRUE,0,1000,0.0001,,Median household income is measured in dollars. States with the best statistics (higher incomes) rank first.,poor;earnings;wage;employment;socioeconomic;socio-economic; ses; class; money;salary;low income;high-income;low-income;high income;profit;salary;wages;revenue;monies;gain;pays;compensation;livelihood;wealth;wealthy;pay check;pay-check;capital;capitol;salaries;,Income,Median household income,TRUE,44758,74444,51340,42336,63783,62520,71755,61017,72935,48900,51037,71977,49174,59196,50433,54570,53571,44811,45652,50826,76067,70954,50803,63217,40528,49593,48380,54384,53094,68485,73702,45674,60741,48256,59114,50674,48038,53270,54895,58387,46898,52078,46574,54727,62518,56104,66149,62848,42644,54610,59143
SEF37_GiniInd,06_04,"Income, employment, and economic security",Income Inequality,income inequality,Less equitable,More equitable,#,FALSE,2,0.01,1,,"Income inequality is measured using the Gini Index, where a value of 0 represents total equality, and a value of 100 complete inequality. States with the best statistics (more equitable) rank first.",class;ses;socio-economic;socioeconomic;money;low income;income inequality;social inequality;inequity;divide;gini coefficient;low-income;high-income;high income;disparity;dissimilarity;discrepancy;discrimination;contrast;imbalance;balance;difference;variation;inequity;equity;income;capital;capitol;equitable;equal;fairness;sameness;indicator;record;inventory;indication; ,,,FALSE,47.69,41.74,46.82,47.08,48.8,45.9,49.47,44.88,53.34,48.52,48.16,43.69,44.57,47.89,44.94,44.22,45.55,47.41,49.03,45.15,45.13,48.26,46.48,44.9,47.99,46.32,45.87,44.2,45.22,43.44,47.82,47.54,51.02,47.48,45.86,46.41,46.52,46.12,46.8,47.38,46.9,44.38,47.86,48.03,42.61,44.35,46.73,45.6,46.21,44.35,42.79
SEF40a_ConPov20,06_05,"Income, employment, and economic security",Concentrated Poverty,concentrated poverty,Less concentrated poverty,More concentrated poverty,#;%,FALSE,0,1,1,,Concentrated poverty represents the percentage of adults living in an area with more than 20% of residents living below the Federal poverty level. States with the best statistics (less concentrated poverty) rank first.,poor;socioeconomic;socio-economic; ses; class; economic;deep poverty;income;impoverished;penniless;bankrupt;needy;poverty-stricken;unfortunate;deficient;rate;population;neighborhood;area;region;district;locality;neighbourhood;quarter;vicinity;zone;locale;environment;precinct;community;section;part;town;place;block;low-income;families;family;adulthood;low income;,,,FALSE,0.327111,0.082741,0.283727,0.371909,0.235219,0.207445,0.123971,0.102552,0.356944,0.209421,0.30477,0.113201,0.153344,0.194599,0.207803,0.136798,0.173044,0.374987,0.362078,0.158181,0.098077,0.162834,0.246416,0.124015,0.467025,0.224808,0.213425,0.146651,0.170304,0.057551,0.12328,0.385649,0.249952,0.27472,0.148858,0.230469,0.309344,0.203746,0.186219,0.223294,0.320558,0.180069,0.309961,0.330128,0.129145,0.108611,0.125123,0.170409,0.316753,0.135777,0.077673
SEF42b_PoorHighMinority,06_06,"Income, employment, and economic security",Poor People in Segregated Areas,poor people in segregated areas,Fewer poor people in segregated areas,More poor people in segregated areas,#;%,FALSE,0,1,1,,Poor people living in segregated areas represents the percentage of the poor population living in majority-minority census tracts. States with the best statistics (fewer poor people in segregated areas) rank first.,segregation;ses;socio-economic;socioeconomic; race; people of color;racism;redlining;racism;poverty;concentrated poverty;low-income;low income;minorities;federal poverty level;income;impoverished;penniless;bankrupt;needy;poverty-stricken;unfortunate;deficient;rate;adulthood;family;families;population;broke;homes;domestic;,,,FALSE,0.28934173,0.25603549,0.42934457,0.17978491,0.6096308,0.21506409,0.39063842,0.21365482,0.77179243,0.34808831,0.36123692,0.75770098,0.00979934,0.40634128,0.13735609,0.0175603,0.12264752,0.05540364,0.35064887,0.0016014,0.42761552,0.22020805,0.26270841,0.10989185,0.34435486,0.16173392,0.06356573,0.1089673,0.33119127,0,0.49692661,0.55583228,0.50005207,0.23219912,0.1082584,0.17401336,0.08861198,0.01439941,0.25751826,0.2737609,0.22865672,0.1723131,0.21331775,0.59020069,0.04169488,0,0.21791748,0.10444879,0,0.19330378,0.03183739
SEF31_SingleParent,06_07,"Income, employment, and economic security",Single-Parent Households,single-parent households,Fewer single-parent households,More single-parent households,#;%,FALSE,0,1,1,,Single-parent households represents the percentage of children (age 0-17 years) living in single parent households. States with the best statistics (fewer single-parent households) rank first.,youth;family;families;divorce;one parent;single mother;single father;motherless;fatherless;mother-less;father-less;single-mother;single-father;unmarried;one;rate;population;kids;young;mum;mom;dad;sole;lone;one-parent;teen;teenager;lone-parent;sole-parent;parenthood;single;home;domestic;house;place;,,,FALSE,37.87545276,30.37038623,35.82915136,35.44416278,31.65551845,27.95982866,31.60471571,37.72443615,54.02514675,38.16116537,37.33620367,29.02226815,24.82377246,32.15636776,33.34536873,29.0485334,29.03253171,34.24827416,43.94535047,31.99161555,34.00348227,30.90554781,34.01877559,27.87075861,44.67811088,33.26586954,28.17135064,28.56642613,36.55754118,27.89515823,29.45778134,39.80792125,34.5166507,35.48246529,27.22024468,35.3927065,33.94834026,30.46521245,33.54618449,37.62472127,39.07379725,31.48097388,35.42152784,33.14795686,18.26687241,30.97877261,29.81430758,28.30814239,33.44495406,31.22491235,27.80298261
SEF48_FoodInsecure,06_08,"Income, employment, and economic security",Food Insecurity,food insecurity,Less food insecurity,More food insecurity,#;%,TRUE,0,1,1,,Food insecurity represents the percentage of households experiencing a limited access to or ability to acquire nutritionally adequate and safe foods. States with the best statistics (less food insecurity) rank first.,hunger;hungry;diet;nutrition;meals;servings;insecure;security; food-deficit;deficit;access;lack;starvation;food-insecure;shortage;nutrition;nutritional;safety;shortfall;healthy;health;fruit;veggies;vegetables;vegtables;supermarket;super-market;grocery;grocer;desert;transportation;nutriment;feed;homes;families;family;domestic;,,,FALSE,18.1,12.7,14.6,17.5,11.8,10.3,12.3,10.8,11.4,12,14,8.7,12.1,11.1,15.2,10.7,14.5,17.3,18.3,16.4,10.1,10.3,14.3,9.7,18.7,14.2,12.9,14.7,12.1,9.6,11.1,17.6,12.5,15.1,8.8,14.8,15.2,14.6,12.5,12.8,13,10.6,13.4,14.3,11.5,10.1,9.9,11.6,14.9,10.7,12.7
SEF45_AdultJail,06_09,"Income, employment, and economic security",Adult Incarceration,adult incarceration,Less incarceration,More incarceration,#;%,FALSE,0,1,1,,Adult incarceration represents the percentage of adults in state or federal prisons. States with the best statistics (less incarceration) rank first.,criminal justice system;imprisoned;incarcerated;incarceration; prison;prisoners;detention;arrest;jail;penitentiary;imprisonment;detention;custody;in-prison;lockedup;locked-up;detained;facilities;county;adulthood;correctional;,,,FALSE,572,282,589,585,332,358,290,430,0,485,515,254,438,341,385,287,331,519,761,137,329,125,414,192,625,533,366,274,464,211,221,335,256,341,235,449,675,370,383,192,411,441,424,567,203,197,450,261,391,383,405
SEF19_Employed,06_10,"Income, employment, and economic security",Unemployment Rate,unemployment rate,Lower unemployment,Higher unemployment,#;%,FALSE,0,1,1,,The unemployment rate represents the percentage of the population (age 16+ years) who were unemployed. States with the best statistics (lower unemployment) rank first.,jobs;working;out of work;job loss;unemployment;workforce;labor force;labor market;underemployed;out-of-work;jobless;adulthood;inactive;joblessness;work;lack of work;workless;without a job;non-working;job-seeking;job-seeker;unwaged;,,,FALSE,8.3,7.8,8,6.9,8.7,6,8,7.1,8.7,8.4,8.5,5.5,6.2,8.2,6.9,4.5,5.3,7.6,7.7,6,6.7,6.8,8.5,4.8,9.6,6.6,5.6,4.2,9.3,5.1,7.9,8.5,7.5,8.3,2.8,7.2,6,8.1,7.2,7.7,8.4,4.1,7.5,6.4,5.1,5,5.9,6.8,7.5,5.5,4.9
SEF05_Married,06_11,"Income, employment, and economic security",Married Adults,married adults,Fewer married adults,More married adults,#;%,FALSE,0,1,1,,Married adults represents the percentage of adults who are married. States with the best statistics (more married adults) rank first.,marriage;divorced;family;families;couples;single;unmarried;marry;marital;wife;husband;coupled;spouses;bride;groom;wed;remarried;home;domestic;,,,TRUE,47.9,48.3,47.2,50.1,46.6,50.8,47.9,47.4,28.2,46.2,46.9,49.8,54.7,47.8,49.3,52.7,52.3,49.7,43.5,50.5,46.9,46.4,48,52.1,44.6,49.3,51.7,52.8,45.5,51.9,49.1,45.1,44.5,48.9,52,48,50,49.2,48,44.5,47.1,52,49.3,49.3,55.9,49.4,50,50.6,50,50.7,53.2
SEF25_SevereHouse,07_01,Housing and neighborhood environment,Severe Housing Conditions,severe housing conditions,Fewer severe housing conditions,More severe housing conditions,#;%,FALSE,0,1,1,,"Severe housing conditions represents the percentage of the population living in a household with overcrowding, high housing costs, lack of kitchen facilities, or lack of plumbing facilities. States with the best statistics (fewer severe housing conditions) rank first.",disrepair;rent;living conditions;indoor;housing;blight;plumbing;overcrowding;housing costs;kitchen;physical;blighted;unsafe;property;real estate;uninhabitable;residential;tenants;inadequate;impoverished;weak;inferior;unsatisfactory;housing conditions;poor;poor-housing;poor housing conditions;bedroom;bedrooms;lack of;shabby;second-rate;public-housing;public housing;low-income;low income;lowincome;overcrowded;crowding;overpopulated;congested;without;stove;oven;real-estate;renting;bathrooms;restroom;bath-rooms;sanitary;sanitation;,,,FALSE,13.83023034,17.62543209,15.65474399,12.25391597,18.89963191,15.34892495,19.71797717,17.23195739,10.03666659,18.51503437,14.84572665,20.4670044,15.52321983,17.01640774,12.40029151,12.07983641,12.18551106,12.88847683,13.08272275,18.07083535,17.2015787,17.4125177,15.63185001,14.38371946,15.21983468,13.39896694,15.20623866,11.86074077,14.98785778,19.58118276,22.19101387,16.56872786,16.48456061,14.57564518,8.560343161,13.13392803,12.56524119,16.81681002,15.69599243,17.49073713,14.96442983,11.7687446,13.85760232,14.21475132,15.29083689,21.16200648,15.15886787,16.36026917,11.12798672,14.9861097,12.71537767
SEF26_OccupantsRm,07_02,Housing and neighborhood environment,Overcrowding,overcrowding,Less overcrowding,More overcrowding,#;%,FALSE,0,1,1,,Overcrowding represents the percentage of the population living with more than one person per room. States with the best statistics (less overcrowding) rank first.,housing;living conditions;overcrowding;doubling up;tenants;bedrooms;bed-rooms;overcrowded;housing;low-income;public-housing;public housing;sleeping;sleeps;home;domestic;apartment; ,,,FALSE,1.692704887,6.517873199,4.463479601,2.610908645,8.200759452,2.613110836,1.829834068,1.707508382,3.590722701,2.913950567,2.336541236,9.004712077,2.752861483,2.615405183,1.788348288,1.594265761,2.029559317,1.85698314,2.396907008,1.450166845,2.135943553,1.879839258,1.637889811,2.130322998,2.80396031,1.62656458,2.089164504,2.049000716,4.263409078,1.378283877,3.13187986,3.607758694,5.074091817,2.416973145,1.927166793,1.314824961,2.782825864,3.113773617,1.359330212,1.637090484,1.799633613,2.279514056,2.052450952,4.877898336,3.577328018,1.817142279,1.987943737,3.135904912,1.415477747,1.741416282,2.028768421
SEF27_HousingBurden30,07_03,Housing and neighborhood environment,High Housing Costs,high housing costs,Lower housing costs,Higher housing costs,#;%,TRUE,0,1,1,,High housing costs represents the percentage of homeowners or renters spending more than 30% of their income on their rent or mortgage. States with the best statistics (lower housing costs) rank first.,instability;homeless;housing insecurity;cost of living; money;rent;mortgage;houseless;tenants;cost-of-living;apartment;house;home;low-income;lowincome;low income;payment;loan;debt;credit;lease;home-loan;morgage;,Housing,Percentage of adults spending >30% of their income on housing,FALSE,27.28035435,29.3731892,32.00979698,25.87255142,42.79999503,32.74584523,36.75501748,30.71647546,37.19272743,37.26034597,32.24866587,40.12742517,28.64737371,32.77166521,26.24284557,23.72583876,25.70981254,26.58459322,28.48287915,31.33572488,33.65890667,35.890107,29.59762656,27.31088226,28.69895696,27.77801196,28.54165607,25.48366261,35.95688759,33.26198326,40.8637333,29.73912565,39.88527958,30.34217716,21.18539928,28.28459035,25.76052001,36.02450598,30.12270026,37.08853354,29.1781423,23.5221985,28.7207934,30.00779155,28.23783956,35.35959737,31.21160011,33.90343269,21.46952179,29.68090844,23.83153072
PSE05b_WalkabilityPop,07_04,Housing and neighborhood environment,Walkability,walkability,Fewer walkable neighborhoods,More walkable neighborhoods,#;%,FALSE,0,1,1,,Walkability represents the percentage of the population in metropolitan areas that live in a walkable neighborhood. States with the best statistics (more walkable neighborhoods) rank first.,sidewalks;outdoor;city planning;neighborhood design;safety;crime;pedestrian;green space;parks;walkways;routes;trails;placemaking;public space;public-space;reachable by foot;walking;distance;accessible;area;district;region;locality;beighbourhoods;vicinity;zone;locale;environments;community;blocks;proximity;surroundings;,,,TRUE,0.019312804,,0.031465571,0.015020872,0.198730244,0.093844403,0.131493903,0.05971384,0.588047467,0.042007667,0.024416239,,0.053233967,0.224399845,0.027342089,0.060111022,0.026547602,0.046798788,0.074264628,0.089762226,0.0968909,0.246182902,0.038606128,0.096812327,0.00617508,0.055311635,0.08099337,0.068763047,0.05107802,0.065377732,0.22908534,0.057697258,0.466485551,0.016674024,0.090382656,0.052660555,0.025299323,0.175339736,0.188258445,0.189991319,0.016306475,0.052761831,0.022567858,0.038001391,0.053882837,0.083349574,0.058473275,0.143418526,0.035160997,0.093234063,0.069369454
PSE06_Parks,07_05,Housing and neighborhood environment,Parks,parks,Less park access,More park access,#;%,FALSE,0,1,1,,Access to parks represents the percentage of the population living within half a mile of a park. States with the best statistics (more park access) rank first.,green space;recreation;outdoors;playgrounds;canopy;nature;placemaking;public space;city planning;neighborhood design;gardens;walkable;walking;children;kids;plays;playing;exercises;green-space;playground;field;playfield;local;locality; accessible;civinity;environment;natural;,,,TRUE,23,63,64,22,65,74,41,53,96,39,27,83,52,59,26,33,39,29,27,17,64,67,41,62,22,34,58,40,65,17,55,59,57,23,38,41,29,68,47,52,17,36,25,36,75,25,37,62,14,50,64
PSE60_FineParticulateMatter,07_06,Housing and neighborhood environment,Air Pollution,air pollution,Less pollution,More pollution,#,FALSE,0,1,1,,Air pollution represents the average daily density of fine particles in the air. States with the best statistics (less pollution) rank first.,pollution;respiratory;air;smog;asthma;dust;lungs;pulmonary;contamination;air-contamination;polluting;contaiminant;dirty;gross;disgusting;pollutant;foul;filthy;atmosphere;,,,FALSE,12.8,,10.1,11.8,9.3,12.7,10.5,11.9,12.7,11.4,12.8,,10.1,12.5,13.5,10.9,10.9,13.5,10.8,10.3,12.5,10.5,11.5,12,12.2,10.2,10.9,12.1,12.5,10.5,11.3,10,11.7,12.3,10,13.5,10.3,8.9,12.9,10.3,12.6,10.8,13.8,9.6,11.4,10.7,12.7,11,13.2,11.5,11.2
PSE44_ViolentCrimeRate,08_01,Safety and social environment,Violent Crime,violent crime,Less violent crime,More violent crime,#,FALSE,0,1,1,,"Violent crime represents the number of violent crimes per 100,000 people. States with the best statistics (less violent crime) rank first.",safety;violence;assaults;domestic;sexual;homicides;murders;manslaughters;abuses;rapes;shootings;unsafe;offense;wrongdoing;transgression;felony;felonies;criminal;criminal act;deliquency;robbery;robberies;abductions;negligences;endagerments;danger;dangerous;dangerouse;kidnappings;,,,FALSE,532.3,804.2,470.1,550.9,445.3,342.6,227.1,508.8,1205.9,430.3,397.6,309.2,230.3,436.3,404.7,290.6,380.4,232.3,566.1,123.8,472,376.9,459,242.6,280.5,519.4,368.3,291,678.1,197.6,245,702.5,376.2,372.2,251.1,300.3,449.8,264.6,316.4,238.9,501.8,418.4,632.9,434.4,242.8,158.3,217.6,302.2,358.1,305.9,244.2
